,Project.ID,Target,Path,Num_ID
0,TCGA-KIRP,1,32e3f974-6daa-4cac-a612-abc62d258e09/96760459-21e1-4c72-a627-71e655d4df1f.methylation_array.sesame.level3betas.txt,17
1,TCGA-KIRP,1,97050f01-a133-41f5-bc5c-fa6d36ba3c2d/d1f44b35-ab25-44a7-a070-81a5cc0a6c7b.methylation_array.sesame.level3betas.txt,17
2,TCGA-KIRP,1,d115b886-5e86-4d9b-8044-971cf5369850/a7d74395-7312-4a13-a7bf-85db06d0e556.methylation_array.sesame.level3betas.txt,17
3,TCGA-KIRP,1,dbc31cd7-648f-4a29-a9b5-63186bb3f178/447ef862-535e-48b5-893d-588203a49eac.methylation_array.sesame.level3betas.txt,17
4,TCGA-KIRP,1,d0928c01-6178-4794-8d67-1624b90209e3/cdcc484f-fd78-42f8-b0ce-29971e5d73e4.methylation_array.sesame.level3betas.txt,17
5,TCGA-KIRP,1,fb70532d-5c55-4aff-bae3-29381f75527f/2199a802-387a-4b7c-b7c0-1825759f0e3d.methylation_array.sesame.level3betas.txt,17
6,TCGA-KIRP,1,20083dcf-b64c-430a-919d-83224e5159cb/ca9b915d-75a7-49fd-88e4-cb4b8b6bec45.methylation_array.sesame.level3betas.txt,17
7,TCGA-KIRP,1,bc0d22aa-d763-4ce6-9607-83afb85391fc/b71f4fc5-e166-487b-80d8-5522ae3ac81e.methylation_array.sesame.level3betas.txt,17
8,TCGA-KIRP,1,1a9228c2-b5ee-4bcb-b09b-8278bcb4524a/7a1c6cd4-8b47-42ca-b0f6-7779413364f9.methylation_array.sesame.level3betas.txt,17
9,TCGA-KIRP,1,225581a3-84ba-4efb-8f22-c547c0ce3265/e079a20c-6cdc-4b74-afdf-3fee58f0b574.methylation_array.sesame.level3betas.txt,17
10,TCGA-KIRP,1,3f826c24-6314-4243-aed8-a0b1a2194612/c72e8fa8-a352-42b4-9525-65e77f18509a.methylation_array.sesame.level3betas.txt,17
